signal, time
593.6037811036063, 1669210460.5101883
3985.629546563034, 1669210461.5102215
4685.719153236771, 1669210462.5102513
256.3089368511381, 1669210463.5102804
-2591.376536093393, 1669210464.51031
-609.4275703045537, 1669210465.5103393
1764.2828639326185, 1669210466.5103693
568.9893689723868, 1669210467.5103986
-871.1111187000588, 1669210468.5104294
1138.4798208161296, 1669210469.5104592
2403.64619117966, 1669210470.5104887
495.7850511287429, 1669210471.5105183
223.2794734460142, 1669210472.5105479
2964.432076922801, 1669210473.5105774
4116.219519248862, 1669210474.510607
2071.2579679208225, 1669210475.5106366
923.0604116507128, 1669210476.510666
1896.67709163857, 1669210477.5106955
1926.8918957832, 1669210478.5107248
325.66828026571847, 1669210479.5107543
-273.4919826928532, 1669210480.510784
2142.3070409257352, 1669210481.5108142
3497.0475748233357, 1669210482.5108438
410.9396048061826, 1669210483.5108733
-1756.0652268848785, 1669210484.5109034
259.52244456584697, 1669210485.510933
1671.8468390632256, 1669210486.5109627
-733.7395223793793, 1669210487.5109923
-2100.349699469968, 1669210488.5110219
285.0234385524111, 1669210489.5110512
1151.3636569788575, 1669210490.511081
-889.1260479387823, 1669210491.511111
-3033.329590517054, 1669210492.5111403
-2792.230855876009, 1669210493.51117
-56.19336636363423, 1669210494.5112002
1153.8960804116095, 1669210495.5112302
1518.8275621503738, 1669210496.5112598
3296.1915681096416, 1669210497.5112896
2841.7145373774624, 1669210498.5113194
-1072.2665855384034, 1669210499.5113492
